Date,Open,High,Low,Close,Adj Close,Volume
2023-04-18,8.836000,8.875780,8.768800,8.843000,8.843000,3366
2023-04-19,8.792000,8.792000,8.695050,8.725000,8.725000,10201
2023-04-20,8.669000,8.703000,8.648400,8.678000,8.678000,35319
2023-04-21,8.740000,8.740000,8.657950,8.705500,8.705500,2032
2023-04-24,8.632000,8.759000,8.615540,8.772000,8.772000,40084
2023-04-25,8.759000,8.792800,8.645550,8.682500,8.682500,23090
2023-04-26,8.731000,8.764780,8.637050,8.731000,8.731000,26169
2023-04-27,8.600000,8.672950,8.543350,8.558000,8.558000,19037
2023-04-28,8.500000,8.696600,8.458620,8.712500,8.712500,23395
2023-05-02,8.310000,8.663500,8.289400,8.287000,8.287000,4777
2023-05-03,8.177000,8.358090,8.177000,8.201000,8.201000,15261
2023-05-04,8.344330,8.344330,8.218050,8.193000,8.193000,4449
2023-05-05,8.347250,8.408140,8.319140,8.407000,8.407000,1524
2023-05-09,8.366000,8.386000,8.305600,8.296000,8.296000,11663
2023-05-10,8.309220,8.433300,8.308050,8.347500,8.347500,1608
2023-05-11,8.385000,8.385000,8.196540,8.269500,8.269500,3834
2023-05-12,8.369000,8.386000,8.238140,8.364000,8.364000,7341
2023-05-15,8.343000,8.356350,8.316570,8.359000,8.359000,1587
2023-05-16,8.328000,8.363140,8.266000,8.276000,8.276000,21007
2023-05-17,8.270000,8.318500,8.270000,8.304500,8.304500,19380
2023-05-18,8.391000,8.434220,8.326860,8.354000,8.354000,5573
2023-05-19,8.420000,8.448600,8.398400,8.378500,8.378500,7674
2023-05-22,8.338000,8.372000,8.338000,8.356500,8.356500,4482
2023-05-23,8.461000,8.474570,8.331460,8.450500,8.450500,11079
2023-05-24,8.379000,8.440660,8.359810,8.416000,8.416000,1841
2023-05-25,8.246000,8.377750,8.189540,8.210000,8.210000,3029
2023-05-26,8.177270,8.244300,8.177270,8.246000,8.246000,8384
2023-05-30,8.139000,8.238500,8.009480,8.012000,8.012000,9403
2023-05-31,7.807000,7.992620,7.807000,7.829000,7.829000,4608
2023-06-01,7.861000,7.934810,7.828140,7.941500,7.941500,7464
2023-06-02,8.024000,8.138620,8.024000,8.147500,8.147500,8868
2023-06-05,8.183000,8.299220,8.183000,8.158500,8.158500,3868
2023-06-06,8.020000,8.053870,7.996060,8.089000,8.089000,2660
2023-06-07,8.064000,8.136620,8.041620,8.170500,8.170500,1817
2023-06-08,8.245000,8.245000,8.191300,8.208500,8.208500,1471
2023-06-09,8.169000,8.209220,8.131700,8.169000,8.169000,381
2023-06-12,8.125000,8.140460,8.077850,8.094500,8.094500,5013
2023-06-13,8.123000,8.258140,8.117620,8.209000,8.209000,102878
2023-06-14,8.188000,8.272540,8.167000,8.168000,8.168000,72664
2023-06-15,8.132050,8.220030,8.132050,8.216500,8.216500,1019
2023-06-16,8.217000,8.238540,8.180300,8.183000,8.183000,6578
2023-06-19,8.147000,8.215300,8.128620,8.175000,8.175000,5257
2023-06-20,8.065000,8.189150,8.054110,8.060500,8.060500,558
2023-06-21,8.193000,8.207620,8.092700,8.227500,8.227500,6594
2023-06-22,8.131000,8.154970,8.085100,8.085500,8.085500,3659
2023-06-23,7.989000,8.024210,7.966050,7.964500,7.964500,10922
2023-06-26,7.938760,8.104700,7.898780,8.070500,8.070500,12878
2023-06-27,8.052000,8.117600,7.933210,8.011000,8.011000,5514
2023-06-28,7.998000,8.070100,7.973460,8.046000,8.046000,7870
2023-06-29,8.078000,8.102540,8.027620,8.055500,8.055500,1088
