Date,Open,High,Low,Close,Adj Close,Volume
2019-04-16,729.250000,733.750000,729.250000,732.375000,732.375000,85367
2019-04-17,733.750000,738.750000,733.250000,735.375000,735.375000,160022
2019-04-18,734.250000,738.750000,734.000000,737.875000,737.875000,27542
2019-04-23,741.000000,751.250000,741.000000,753.375000,753.375000,93710
2019-04-24,756.250000,757.000000,754.250000,757.625000,757.625000,134544
2019-04-25,761.750000,764.250000,755.500000,757.625000,757.625000,259702
2019-04-26,751.250000,753.250000,749.750000,751.625000,751.625000,16706
2019-04-29,753.000000,756.500000,753.000000,754.500000,754.500000,29086
2019-04-30,755.750000,755.750000,743.750000,744.125000,744.125000,16895
2019-05-01,756.750000,756.750000,752.000000,753.375000,753.375000,18418
2019-05-02,747.000000,748.750000,746.000000,743.875000,743.875000,9872
2019-05-03,744.250000,746.500000,742.250000,740.875000,740.875000,39440
2019-05-07,734.250000,737.000000,729.000000,729.125000,729.125000,61903
2019-05-08,729.750000,732.750000,724.500000,731.875000,731.875000,69727
2019-05-09,726.500000,726.500000,713.000000,712.250000,712.250000,88674
2019-05-10,723.500000,724.500000,709.500000,709.125000,709.125000,30347
2019-05-13,721.250000,721.250000,700.250000,704.375000,704.375000,119151
2019-05-14,705.000000,715.000000,705.000000,715.125000,715.125000,125228
2019-05-15,722.750000,722.750000,712.500000,725.000000,725.000000,127025
2019-05-16,725.250000,739.500000,725.250000,738.375000,738.375000,125148
2019-05-17,736.500000,736.500000,730.500000,740.875000,740.875000,97109
2019-05-20,734.000000,734.000000,720.000000,723.875000,723.875000,99883
2019-05-21,726.500000,730.000000,726.000000,729.125000,729.125000,25238
2019-05-22,733.250000,734.750000,728.250000,732.625000,732.625000,146399
2019-05-23,725.750000,725.750000,714.250000,716.125000,716.125000,76750
2019-05-24,718.500000,722.250000,718.000000,716.375000,716.375000,152305
2019-05-28,718.000000,720.500000,715.750000,719.125000,719.125000,15243
2019-05-29,710.500000,713.500000,708.500000,711.625000,711.625000,48699
2019-05-30,714.250000,717.750000,714.250000,717.125000,717.125000,33648
2019-05-31,711.000000,711.500000,706.500000,711.875000,711.875000,44190
2019-06-03,705.500000,709.000000,700.500000,705.625000,705.625000,113067
2019-06-04,695.750000,708.750000,689.500000,708.375000,708.375000,186649
2019-06-05,712.750000,718.750000,712.750000,717.875000,717.875000,17329
2019-06-06,722.750000,726.250000,720.000000,722.875000,722.875000,191287
2019-06-07,729.750000,743.000000,727.750000,741.875000,741.875000,37696
2019-06-10,745.500000,756.250000,745.250000,757.125000,757.125000,100508
2019-06-11,754.750000,756.000000,750.750000,749.125000,749.125000,151883
2019-06-12,743.750000,746.250000,743.750000,744.625000,744.625000,167357
2019-06-13,747.750000,752.500000,747.750000,748.625000,748.625000,14283
2019-06-14,746.000000,747.750000,743.500000,747.875000,747.875000,79840
2019-06-17,749.250000,753.750000,748.750000,752.625000,752.625000,68617
2019-06-18,750.500000,768.250000,750.500000,766.375000,766.375000,95315
2019-06-19,767.000000,767.000000,765.250000,760.875000,760.875000,72459
2019-06-20,767.000000,772.250000,767.000000,768.125000,768.125000,134027
2019-06-21,770.000000,773.000000,768.000000,770.875000,770.875000,57357
2019-06-24,765.500000,768.000000,765.500000,767.875000,767.875000,20529
2019-06-25,763.000000,764.500000,760.750000,760.375000,760.375000,51645
2019-06-26,756.000000,767.750000,756.000000,766.375000,766.375000,122669
2019-06-27,766.250000,767.250000,761.500000,765.125000,765.125000,155308
2019-06-28,770.750000,770.750000,761.000000,762.500000,762.500000,27376
2019-07-01,781.250000,784.500000,779.750000,779.625000,779.625000,60106
2019-07-02,779.250000,783.500000,778.250000,783.375000,783.375000,97371
2019-07-03,788.500000,792.000000,786.000000,789.000000,789.000000,31349
2019-07-04,791.000000,793.750000,791.000000,793.875000,793.875000,56141
2019-07-05,794.000000,794.000000,790.750000,789.875000,789.875000,218424
2019-07-08,789.500000,791.000000,786.000000,787.500000,787.500000,84359
2019-07-09,779.000000,791.750000,779.000000,792.125000,792.125000,98759
2019-07-10,790.750000,800.750000,790.500000,797.125000,797.125000,48654
2019-07-11,798.000000,800.000000,796.500000,799.625000,799.625000,22447
2019-07-12,799.250000,802.500000,798.250000,801.500000,801.500000,49382
2019-07-15,804.000000,807.750000,803.250000,807.625000,807.625000,59679
2019-07-16,813.000000,816.000000,811.750000,811.750000,811.750000,45502
2019-07-17,812.000000,812.000000,807.000000,807.750000,807.750000,233636
2019-07-18,802.000000,805.000000,800.000000,800.250000,800.250000,35492
2019-07-19,809.500000,812.250000,808.750000,809.750000,809.750000,111014
2019-07-22,804.750000,811.750000,804.750000,811.000000,811.000000,77770
2019-07-23,819.250000,821.250000,815.000000,816.500000,816.500000,249338
2019-07-24,820.250000,820.500000,814.500000,818.125000,818.125000,451815
2019-07-25,824.000000,824.000000,814.750000,819.125000,819.125000,109166
2019-07-26,826.000000,827.750000,821.750000,828.125000,828.125000,54642
2019-07-29,830.250000,838.500000,826.132019,837.375000,837.375000,56983
2019-07-30,845.250000,848.291016,835.000000,839.750000,839.750000,33615
2019-07-31,842.250000,844.330017,835.000000,836.250000,836.250000,238785
2019-08-01,828.250000,843.281006,820.325989,845.000000,845.000000,169301
2019-08-02,816.750000,820.200012,802.812012,807.125000,807.125000,121516
2019-08-05,799.500000,802.564026,779.482971,783.000000,783.000000,83824
