Date,Open,High,Low,Close,Adj Close,Volume
2019-04-16,810.200012,810.200012,810.200012,811.450012,811.450012,320
2019-04-17,809.549988,809.549988,809.549988,809.549988,809.549988,0
2019-04-18,811.500000,811.500000,811.500000,810.549988,810.549988,616
2019-04-23,823.849976,823.849976,823.849976,823.849976,823.849976,0
2019-04-24,824.750000,824.750000,824.750000,824.750000,824.750000,0
2019-04-25,826.000000,826.000000,824.599976,825.650024,825.650024,9926
2019-04-26,825.150024,825.150024,825.150024,825.150024,825.150024,0
2019-04-29,830.799988,830.900024,829.700012,829.700012,829.700012,2950
2019-04-30,818.650024,818.650024,818.650024,818.650024,818.650024,0
2019-05-01,824.799988,824.900024,824.200012,832.450012,832.450012,28374
2019-05-02,815.900024,815.900024,815.900024,815.900024,815.900024,0
2019-05-03,820.299988,820.500000,811.500000,813.349976,813.349976,6241
2019-05-07,806.150024,806.150024,806.150024,806.150024,806.150024,0
2019-05-08,805.200012,805.200012,805.200012,808.150024,808.150024,786
2019-05-09,793.650024,793.650024,793.650024,793.650024,793.650024,0
2019-05-10,791.650024,791.650024,791.650024,791.650024,791.650024,0
2019-05-13,789.599976,789.599976,789.500000,790.950012,790.950012,1000
2019-05-14,801.650024,801.650024,801.650024,801.650024,801.650024,0
2019-05-15,807.299988,807.299988,807.299988,807.299988,807.299988,0
2019-05-16,822.700012,822.700012,822.700012,822.700012,822.700012,0
2019-05-17,825.099976,825.099976,825.099976,825.099976,825.099976,0
2019-05-20,815.299988,815.299988,815.299988,815.299988,815.299988,0
2019-05-21,818.599976,818.599976,818.599976,818.599976,818.599976,0
2019-05-22,824.900024,824.900024,824.900024,824.900024,824.900024,0
2019-05-23,811.799988,811.799988,811.799988,811.799988,811.799988,0
2019-05-24,811.400024,811.400024,811.400024,811.400024,811.400024,0
2019-05-28,814.599976,814.599976,814.599976,814.599976,814.599976,0
2019-05-29,804.000000,804.000000,804.000000,804.000000,804.000000,0
2019-05-30,808.000000,808.000000,808.000000,808.000000,808.000000,0
2019-05-31,797.799988,797.799988,797.599976,800.799988,800.799988,2377
2019-06-03,793.000000,797.500000,793.000000,796.900024,796.900024,7015
2019-06-04,801.900024,801.900024,801.900024,801.900024,801.900024,0
2019-06-05,807.000000,807.000000,807.000000,808.299988,808.299988,800
2019-06-06,813.700012,813.700012,813.700012,813.700012,813.700012,0
2019-06-07,814.799988,814.799988,814.799988,823.700012,823.700012,5581
2019-06-10,830.599976,830.700012,830.599976,834.599976,834.599976,2406
2019-06-11,829.299988,829.299988,829.099976,829.599976,829.599976,2410
2019-06-12,823.799988,823.799988,823.799988,825.900024,825.900024,2439
2019-06-13,832.200012,832.299988,831.799988,831.099976,831.099976,2679
2019-06-14,836.000000,836.000000,836.000000,836.000000,836.000000,0
2019-06-17,842.049988,842.049988,842.049988,842.049988,842.049988,0
2019-06-18,845.599976,854.299988,845.500000,851.650024,851.650024,3035
2019-06-19,843.099976,843.099976,843.000000,844.200012,844.200012,2335
2019-06-20,846.700012,846.700012,846.700012,846.700012,846.700012,0
2019-06-21,851.049988,851.049988,851.049988,851.049988,851.049988,0
2019-06-24,847.000000,847.000000,847.000000,847.000000,847.000000,0
2019-06-25,842.299988,842.299988,842.299988,842.299988,842.299988,0
2019-06-26,841.299988,841.299988,841.299988,841.299988,841.299988,0
2019-06-27,841.299988,841.299988,841.299988,841.299988,841.299988,0
2019-06-28,843.099976,843.099976,843.099976,843.099976,843.099976,0
2019-07-01,855.450012,855.450012,855.450012,855.450012,855.450012,0
2019-07-02,860.049988,860.049988,860.049988,860.049988,860.049988,0
2019-07-03,868.049988,868.049988,868.049988,868.049988,868.049988,0
2019-07-04,870.950012,870.950012,870.950012,870.950012,870.950012,0
2019-07-05,870.349976,870.349976,870.349976,870.349976,870.349976,0
2019-07-08,869.349976,869.349976,869.349976,869.349976,869.349976,0
2019-07-09,872.099976,872.099976,872.099976,872.750000,872.750000,460
2019-07-10,874.150024,874.150024,874.150024,874.150024,874.150024,0
