Date,Open,High,Low,Close,Adj Close,Volume
2019-04-16,547.250000,551.000000,546.250000,550.750000,550.750000,315175
2019-04-17,554.500000,556.250000,552.750000,553.250000,553.250000,110657
2019-04-18,553.750000,558.250000,552.500000,557.125000,557.125000,74713
2019-04-23,555.250000,559.000000,552.250000,558.750000,558.750000,178634
2019-04-24,559.750000,560.250000,557.500000,558.750000,558.750000,23634
2019-04-25,558.500000,561.750000,558.000000,562.000000,562.000000,53376
2019-04-26,562.250000,563.500000,562.000000,564.250000,564.250000,25153
2019-04-29,567.000000,573.500000,567.000000,572.750000,572.750000,8745
2019-04-30,571.250000,571.250000,564.750000,565.375000,565.375000,120040
2019-05-01,568.750000,568.750000,564.250000,564.750000,564.750000,4385
2019-05-02,564.250000,567.000000,563.500000,562.500000,562.500000,35016
2019-05-03,566.500000,569.000000,563.250000,564.250000,564.250000,29911
2019-05-07,560.250000,562.250000,557.250000,557.750000,557.750000,13087
2019-05-08,556.000000,559.000000,554.000000,558.125000,558.125000,21438
2019-05-09,551.750000,554.250000,549.500000,547.625000,547.625000,5805
2019-05-10,552.500000,554.250000,550.250000,548.250000,548.250000,204319
2019-05-13,551.250000,552.000000,545.250000,546.375000,546.375000,357384
2019-05-14,546.250000,553.250000,546.250000,553.250000,553.250000,12742
2019-05-15,550.250000,550.500000,547.250000,551.000000,551.000000,177920
2019-05-16,549.250000,561.250000,549.000000,561.250000,561.250000,16534
2019-05-17,556.500000,561.750000,555.750000,562.500000,562.500000,34776
2019-05-20,560.250000,560.250000,554.500000,560.000000,560.000000,33190
2019-05-21,562.000000,564.250000,562.000000,562.250000,562.250000,12164
2019-05-22,565.000000,566.500000,564.250000,565.750000,565.750000,117558
2019-05-23,563.500000,563.500000,555.250000,556.000000,556.000000,47387
2019-05-24,557.500000,557.500000,555.500000,556.250000,556.250000,3758
2019-05-28,560.000000,560.750000,558.250000,559.250000,559.250000,17362
2019-05-29,551.000000,553.750000,550.000000,552.500000,552.500000,429645
2019-05-30,556.250000,558.250000,555.500000,555.250000,555.250000,136356
2019-05-31,547.500000,548.500000,546.250000,548.750000,548.750000,209664
2019-06-03,541.000000,549.000000,540.000000,547.250000,547.250000,18245
2019-06-04,550.250000,558.500000,550.250000,558.250000,558.250000,157505
2019-06-05,560.500000,560.500000,556.500000,559.000000,559.000000,71682
2019-06-06,564.500000,565.000000,560.000000,563.000000,563.000000,55221
2019-06-07,566.250000,567.500000,561.500000,563.000000,563.000000,275066
2019-06-10,568.750000,573.000000,567.500000,573.250000,573.250000,147761
2019-06-11,572.250000,573.250000,572.250000,571.750000,571.750000,6000
2019-06-12,567.000000,567.000000,564.000000,564.000000,564.000000,16207
2019-06-13,566.250000,568.000000,564.750000,566.750000,566.750000,9188
2019-06-14,565.000000,569.000000,564.250000,568.375000,568.375000,20076
2019-06-17,574.500000,574.750000,572.500000,573.500000,573.500000,8332
2019-06-18,567.250000,572.250000,567.250000,576.750000,576.750000,84108
2019-06-19,576.250000,577.750000,574.500000,575.000000,575.000000,11102
2019-06-20,571.250000,572.750000,566.000000,565.750000,565.750000,15276
2019-06-21,571.500000,575.250000,571.500000,574.000000,574.000000,19056
2019-06-24,567.750000,568.000000,566.250000,568.500000,568.500000,64695
2019-06-25,564.000000,565.500000,563.000000,566.000000,566.000000,81504
2019-06-26,567.000000,568.750000,567.000000,568.500000,568.500000,24753
2019-06-27,568.000000,569.250000,564.500000,569.625000,569.625000,161515
2019-06-28,576.000000,578.750000,573.500000,576.250000,576.250000,24006
2019-07-01,584.500000,587.250000,584.500000,585.500000,585.500000,151637
2019-07-02,587.000000,589.500000,586.000000,588.000000,588.000000,140495
2019-07-03,590.750000,592.250000,589.500000,592.500000,592.500000,7536
2019-07-04,592.500000,593.000000,592.250000,592.250000,592.250000,5339
2019-07-05,591.500000,600.000000,591.500000,597.500000,597.500000,22528
2019-07-08,596.250000,597.000000,594.750000,596.500000,596.500000,21084
2019-07-09,594.250000,597.500000,594.250000,598.125000,598.125000,2323
