Date,Open,High,Low,Close,Adj Close,Volume
2021-03-25,3.604500,3.604500,3.604500,3.604500,3.604500,0
2021-03-26,3.656500,3.656500,3.624500,3.630500,3.630500,323
2021-03-29,3.640000,3.645500,3.640000,3.638000,3.638000,1300
2021-03-30,3.673500,3.673500,3.673500,3.673500,3.673500,0
2021-03-31,3.661000,3.671500,3.661000,3.672750,3.672750,116
2021-04-01,3.706500,3.730500,3.699000,3.706750,3.706750,5028
2021-04-06,3.758500,3.758500,3.724500,3.751750,3.751750,12272
2021-04-07,3.766500,3.776000,3.742000,3.761500,3.761500,957
2021-04-08,3.795500,3.797000,3.757000,3.791500,3.791500,8083
2021-04-09,3.811000,3.818000,3.799000,3.799750,3.799750,4988
2021-04-12,3.860000,3.870500,3.790000,3.795750,3.795750,44649
2021-04-13,3.803000,3.827500,3.794000,3.814500,3.814500,9389
2021-04-14,3.820000,3.831000,3.806500,3.814500,3.814500,4152
2021-04-15,3.823000,3.836500,3.790500,3.826250,3.826250,15644
2021-04-16,3.851500,3.855000,3.837000,3.836000,3.836000,40882
2021-04-19,3.830000,3.830500,3.790000,3.783500,3.783500,2752
2021-04-20,3.785000,3.786000,3.757000,3.748500,3.748500,2036
2021-04-21,3.766000,3.778500,3.734000,3.771250,3.771250,1181
2021-04-22,3.801500,3.806500,3.799500,3.820250,3.820250,475
2021-04-23,3.794500,3.829000,3.794500,3.823250,3.823250,871
2021-04-26,3.814000,3.836000,3.813500,3.831000,3.831000,12864
2021-04-27,3.842500,3.842500,3.820000,3.830000,3.830000,23343
2021-04-28,3.874000,3.874000,3.836500,3.836000,3.836000,923
2021-04-29,3.846500,3.856500,3.805000,3.817500,3.817500,10334
2021-04-30,3.793000,3.851500,3.793000,3.833750,3.833750,1693
2021-05-04,3.829000,3.829000,3.766500,3.764000,3.764000,5577
2021-05-05,3.798000,3.805000,3.790500,3.794500,3.794500,882
2021-05-06,3.798000,3.799500,3.772000,3.790500,3.790500,4494
2021-05-07,3.814000,3.834000,3.813000,3.824000,3.824000,1491
2021-05-10,3.807000,3.810000,3.768000,3.771500,3.771500,10493
2021-05-11,3.736000,3.736000,3.685500,3.694000,3.694000,5467
2021-05-12,3.705000,3.705000,3.666000,3.662000,3.662000,2635
2021-05-13,3.651500,3.684500,3.626500,3.669250,3.669250,3124
2021-05-14,3.713500,3.722500,3.688000,3.716250,3.716250,2884
2021-05-17,3.696000,3.729000,3.696000,3.698000,3.698000,7927
2021-05-18,3.705000,3.723500,3.705000,3.709500,3.709500,4544
2021-05-19,3.661500,3.675000,3.652500,3.666250,3.666250,795
2021-05-20,3.677500,3.725000,3.677500,3.721500,3.721500,10008
2021-05-21,3.714500,3.743000,3.714500,3.726000,3.726000,87896
2021-05-24,3.742000,3.764000,3.741000,3.757000,3.757000,1576
2021-05-25,3.769500,3.777000,3.767000,3.759000,3.759000,810
2021-05-26,3.762000,3.772500,3.762000,3.764250,3.764250,399
2021-05-27,3.766000,3.769000,3.750000,3.755750,3.755750,1793
2021-05-28,3.775000,3.780000,3.770000,3.768250,3.768250,511
2021-06-01,3.773500,3.804000,3.748500,3.780500,3.780500,2105
2021-06-02,3.787500,3.791500,3.768000,3.779500,3.779500,2729
2021-06-03,3.791500,3.791500,3.738500,3.778750,3.778750,2023
2021-06-04,3.757000,3.786000,3.757000,3.785500,3.785500,1266
2021-06-07,3.785500,3.801000,3.785500,3.782500,3.782500,3505
2021-06-08,3.800000,3.815000,3.780000,3.790000,3.790000,63616
2021-06-09,3.797000,3.809500,3.795000,3.808750,3.808750,770
2021-06-10,3.801000,3.814500,3.790500,3.803500,3.803500,5318
2021-06-11,3.816000,3.820000,3.791000,3.817750,3.817750,1081
2021-06-14,3.842000,3.845500,3.818000,3.826250,3.826250,4475
2021-06-15,3.831500,3.854000,3.830500,3.829750,3.829750,1122
2021-06-16,3.832500,3.832500,3.826000,3.829500,3.829500,48
2021-06-17,3.853000,3.853000,3.830500,3.850500,3.850500,470
