Date,Open,High,Low,Close,Adj Close,Volume
2019-04-16,48.828999,49.000000,48.821999,48.898998,48.898998,88371
2019-04-17,48.841999,49.033001,48.707001,48.707001,48.707001,80055
2019-04-18,48.594002,49.048000,48.594002,48.938000,48.938000,123159
2019-04-23,49.081001,49.599998,48.962002,49.595001,49.595001,93409
2019-04-24,49.655998,49.779999,49.590000,49.756001,49.756001,107911
2019-04-25,49.838001,50.025002,49.596001,49.915001,49.915001,87168
2019-04-26,49.761002,50.004002,49.659000,49.853001,49.853001,147306
2019-04-29,49.997002,50.125000,49.956001,50.055000,50.055000,113805
2019-04-30,49.858002,49.882999,49.577000,49.667999,49.667999,123072
2019-05-02,49.629002,49.756001,49.400002,49.446999,49.446999,104014
2019-05-03,49.672001,49.912998,49.672001,49.831001,49.831001,70668
2019-05-06,49.028000,49.571999,49.000000,49.488998,49.488998,111933
2019-05-07,49.556999,49.596001,48.932999,49.092999,49.092999,102289
2019-05-08,49.000999,49.132000,48.626999,48.902000,48.902000,352384
2019-05-09,48.588001,48.700001,47.844002,48.053001,48.053001,134128
2019-05-10,48.553001,48.598999,47.750000,47.813999,47.813999,158482
2019-05-13,48.269001,48.269001,47.487999,47.592999,47.592999,170380
2019-05-14,47.679001,48.231998,47.556999,48.231998,48.231998,230968
2019-05-15,48.228001,48.359001,47.784000,48.359001,48.359001,198415
2019-05-16,48.280998,49.119999,48.161999,49.119999,49.119999,131706
2019-05-17,48.785000,49.153000,48.521000,49.034000,49.034000,117024
2019-05-20,48.841000,48.869999,48.223999,48.462002,48.462002,146213
2019-05-21,48.634998,48.841000,48.508999,48.770000,48.770000,131970
2019-05-22,48.743999,48.771000,48.463001,48.723000,48.723000,107366
2019-05-23,48.450001,48.462002,47.995998,48.022999,48.022999,121872
2019-05-24,48.095001,48.279999,47.835999,47.951000,47.951000,162184
2019-05-27,48.092999,48.174000,48.029999,48.054001,48.054001,68289
2019-05-28,48.198002,48.250000,47.965000,48.063000,48.063000,138779
2019-05-29,47.514000,47.584000,47.428001,47.431000,47.431000,254068
2019-05-30,47.653000,47.831001,47.550999,47.550999,47.550999,54759
2019-05-31,47.179001,47.224998,46.880001,47.196999,47.196999,111487
2019-06-03,46.669998,46.889999,46.470001,46.785999,46.785999,164670
2019-06-04,46.366001,47.183998,46.366001,47.183998,47.183998,172690
2019-06-05,47.400002,47.716999,47.299000,47.589001,47.589001,84885
2019-06-06,47.889999,48.050999,47.590000,47.771999,47.771999,154989
2019-06-07,48.132999,48.395000,47.838001,48.262001,48.262001,64075
2019-06-10,48.502998,48.785999,48.484001,48.785999,48.785999,53353
2019-06-11,48.660000,48.923000,48.601002,48.611000,48.611000,96313
2019-06-12,48.324001,48.595001,48.292000,48.445000,48.445000,113971
2019-06-13,48.481998,48.874001,48.438000,48.723999,48.723999,125594
2019-06-14,48.727001,48.978001,48.675999,48.978001,48.978001,65169
2019-06-17,49.118000,49.169998,48.914001,49.039001,49.039001,63157
2019-06-18,48.959999,49.888000,48.869999,49.714001,49.714001,108160
2019-06-19,49.683998,49.715000,49.493000,49.523998,49.523998,109105
2019-06-20,49.743999,49.860001,49.646000,49.661999,49.661999,180416
2019-06-21,49.768002,49.796001,49.520000,49.771999,49.771999,81801
2019-06-24,49.445000,49.458000,49.271000,49.341000,49.341000,97973
2019-06-25,49.151001,49.262001,49.021999,49.073002,49.073002,61624
2019-06-26,48.949001,49.179001,48.853001,48.879002,48.879002,40087
2019-06-27,48.859001,48.879002,48.569000,48.701000,48.701000,151139
2019-06-28,48.825001,48.938999,48.799999,48.889999,48.889999,65393
2019-07-01,49.862999,49.873001,49.599998,49.709999,49.709999,158712
2019-07-02,49.777000,49.849998,49.617001,49.709999,49.709999,118593
2019-07-03,50.022999,50.278000,50.009998,50.278000,50.278000,105523
2019-07-04,50.360001,50.463001,50.311001,50.439999,50.439999,60032
2019-07-05,50.451000,50.451000,50.203999,50.391998,50.391998,73927
2019-07-08,50.382999,50.446999,50.275002,50.324001,50.324001,39399
2019-07-09,50.140999,50.365002,50.108002,50.334999,50.334999,60872
2019-07-10,50.286999,50.691002,50.200001,50.424000,50.424000,60876
2019-07-11,50.497002,50.599998,50.450001,50.564999,50.564999,60762
2019-07-12,50.582001,50.785000,50.576000,50.702000,50.702000,55697
2019-07-15,50.771000,50.851002,50.705002,50.755001,50.755001,67834
2019-07-16,50.827000,51.060001,50.810001,50.957001,50.957001,117553
2019-07-17,50.929001,50.938000,50.580002,50.622002,50.622002,42322
2019-07-18,50.230999,50.537998,50.220001,50.323002,50.323002,65086
2019-07-19,50.591999,50.841000,50.591999,50.707001,50.707001,186377
2019-07-22,50.375000,50.512001,50.358002,50.400002,50.400002,85390
2019-07-23,50.726002,50.966000,50.685001,50.901001,50.901001,55785
2019-07-24,51.102001,51.261002,51.016998,51.195999,51.195999,62290
2019-07-25,51.500000,51.700001,50.980999,51.175999,51.175999,175501
2019-07-26,51.277000,51.568001,51.277000,51.568001,51.568001,62264
2019-07-29,51.515999,51.681999,51.404999,51.465000,51.465000,74440
2019-07-30,51.487999,51.505001,51.099998,51.324001,51.324001,36159
2019-07-31,51.280998,51.444000,51.278000,51.410999,51.410999,55176
2019-08-01,51.199001,51.698002,51.120998,51.678001,51.678001,89842
2019-08-02,50.464001,50.880001,49.837002,49.925999,49.925999,165440
2019-08-05,49.591000,49.626999,48.553001,48.676998,48.676998,174229
2019-08-06,48.154999,48.840000,48.040001,48.313999,48.313999,161601
