Date,Open,High,Low,Close,Adj Close,Volume
2019-04-16,27453.500000,27453.500000,27453.500000,27453.500000,27453.500000,0
2019-04-17,27701.000000,27701.000000,27701.000000,27701.000000,27701.000000,0
2019-04-18,27462.000000,27719.000000,27445.000000,27478.000000,27478.000000,2031
2019-04-23,28009.000000,28248.000000,28009.000000,28202.000000,28202.000000,577
2019-04-24,28176.000000,28234.000000,27868.000000,27894.000000,27894.000000,718
2019-04-25,27818.000000,27818.000000,27745.000000,27796.500000,27796.500000,6
2019-04-26,27520.000000,27545.000000,27091.000000,27175.000000,27175.000000,274
2019-04-29,27336.000000,27363.000000,27225.000000,27246.500000,27246.500000,1587
2019-04-30,27290.000000,27317.000000,27057.000000,27110.500000,27110.500000,5170
2019-05-01,26952.599609,26952.599609,26952.599609,26693.500000,26693.500000,19
2019-05-02,26373.000000,26373.000000,26312.000000,26080.500000,26080.500000,285
2019-05-03,26083.000000,26186.000000,26081.000000,26041.000000,26041.000000,2746
2019-05-07,25847.000000,25953.000000,25743.000000,25758.500000,25758.500000,1689
2019-05-08,26051.000000,26125.000000,26051.000000,26127.500000,26127.500000,461
2019-05-09,25999.000000,25999.000000,25685.000000,25773.500000,25773.500000,2566
2019-05-10,26039.000000,26039.000000,25904.000000,25790.000000,25790.000000,726
2019-05-13,25958.000000,25986.000000,25868.000000,25828.500000,25828.500000,472
2019-05-14,26301.500000,26301.500000,26301.500000,26301.500000,26301.500000,0
2019-05-15,26215.000000,26218.000000,26215.000000,26364.500000,26364.500000,1059
2019-05-16,26679.000000,26785.000000,26678.000000,26822.000000,26822.000000,64
2019-05-17,26761.000000,26793.000000,26613.000000,26763.500000,26763.500000,1233
2019-05-20,26541.000000,26589.000000,26535.000000,26576.500000,26576.500000,245
2019-05-21,26772.000000,26827.000000,26715.000000,26870.000000,26870.000000,32
2019-05-22,26905.000000,26980.000000,26872.000000,26793.500000,26793.500000,2402
2019-05-23,26573.000000,26573.000000,25767.000000,25724.000000,25724.000000,1222
2019-05-24,25623.000000,25623.000000,25623.000000,25623.000000,25623.000000,0
2019-05-28,25734.099609,25734.099609,25734.099609,25717.000000,25717.000000,2
2019-05-29,25253.000000,25253.000000,25232.000000,25221.000000,25221.000000,12
2019-05-30,25450.000000,25450.000000,25318.000000,25084.000000,25084.000000,119
2019-05-31,24899.000000,24899.000000,24899.000000,24975.000000,24975.000000,369
2019-06-03,24709.000000,24847.000000,24691.000000,24888.500000,24888.500000,705
2019-06-04,24934.000000,25061.000000,24934.000000,25312.500000,25312.500000,777
2019-06-05,25159.000000,25159.000000,24828.000000,24883.000000,24883.000000,8
2019-06-06,25109.000000,25309.000000,25109.000000,25248.000000,25248.000000,69
2019-06-07,25380.000000,25408.000000,25321.000000,25398.000000,25398.000000,1124
2019-06-10,25741.000000,25741.000000,25741.000000,25741.000000,25741.000000,0
2019-06-11,25823.449219,25823.449219,25823.449219,25808.500000,25808.500000,9
2019-06-12,25340.000000,25340.000000,25340.000000,25340.000000,25340.000000,0
2019-06-13,25616.000000,25651.000000,25612.000000,25635.000000,25635.000000,741
2019-06-14,25644.500000,25644.500000,25644.500000,25644.500000,25644.500000,0
2019-06-17,25880.000000,25880.000000,25880.000000,25880.000000,25880.000000,0
2019-06-18,26124.000000,26232.000000,26123.000000,26332.500000,26332.500000,10
2019-06-19,26127.000000,26127.000000,26127.000000,26102.500000,26102.500000,7
2019-06-20,26272.000000,26522.000000,26271.000000,26555.500000,26555.500000,1647
2019-06-21,26710.000000,26861.000000,26695.000000,26829.500000,26829.500000,76
2019-06-24,26427.500000,26427.500000,26427.500000,26427.500000,26427.500000,0
2019-06-25,26346.150391,26346.150391,26346.150391,26374.500000,26374.500000,1
2019-06-26,26601.000000,26902.000000,26601.000000,26956.000000,26956.000000,1450
2019-06-27,26679.000000,26769.000000,26674.000000,26743.500000,26743.500000,788
2019-06-28,26661.000000,26661.000000,26661.000000,26661.000000,26661.000000,0
2019-07-01,27396.000000,27398.000000,27292.000000,27115.500000,27115.500000,2476
2019-07-02,27033.000000,27065.000000,26971.000000,26649.000000,26649.000000,949
2019-07-03,26695.000000,26695.000000,26695.000000,26695.000000,26695.000000,0
2019-07-04,26852.000000,26852.000000,26852.000000,26852.000000,26852.000000,0
2019-07-05,26728.000000,26820.000000,26728.000000,26823.500000,26823.500000,897
2019-07-08,26945.000000,26945.000000,26887.000000,27043.500000,27043.500000,329
2019-07-09,27106.500000,27106.500000,27106.500000,27106.500000,27106.500000,0
2019-07-10,27251.000000,27251.000000,27251.000000,27251.000000,27251.000000,0
2019-07-11,27396.000000,27396.000000,27308.000000,27269.000000,27269.000000,292
2019-07-12,27461.500000,27461.500000,27461.500000,27461.500000,27461.500000,0
2019-07-15,27495.000000,27496.000000,27411.000000,27391.000000,27391.000000,234
2019-07-16,27456.000000,27456.000000,27456.000000,27456.000000,27456.000000,0
2019-07-17,27282.000000,27282.000000,27282.000000,26997.000000,26997.000000,321
2019-07-18,26749.000000,26749.000000,26610.000000,26523.000000,26523.000000,34
2019-07-19,26657.000000,26767.000000,26657.000000,26779.500000,26779.500000,2369
2019-07-22,27102.000000,27102.000000,27097.000000,26876.000000,26876.000000,31
2019-07-23,27093.500000,27093.500000,27093.500000,27093.500000,27093.500000,0
2019-07-24,27106.000000,27290.000000,27105.000000,27254.500000,27254.500000,26
2019-07-25,27260.000000,27260.000000,26985.000000,26962.500000,26962.500000,2
2019-07-26,26933.000000,26933.000000,26933.000000,26933.000000,26933.000000,0
2019-07-29,27080.000000,27080.000000,26987.000000,27119.500000,27119.500000,1183
2019-07-30,27353.000000,27353.000000,27353.000000,27365.000000,27365.000000,158
2019-07-31,27665.500000,27665.500000,27665.500000,27665.500000,27665.500000,0
2019-08-01,27542.000000,27624.000000,27364.000000,27324.000000,27324.000000,2017
2019-08-02,26949.000000,27134.000000,26913.927734,26599.000000,26599.000000,1687
2019-08-05,26258.000000,26258.000000,25908.000000,26038.000000,26038.000000,1993
2019-08-06,25746.000000,25764.000000,25515.000000,25548.500000,25548.500000,3190
2019-08-07,25652.000000,25707.000000,25126.000000,25248.000000,25248.000000,2288
2019-08-08,25854.000000,25859.000000,25854.000000,25865.500000,25865.500000,1553
2019-08-09,26427.000000,26427.000000,26023.000000,26001.500000,26001.500000,326
2019-08-12,26137.000000,26137.000000,25799.000000,25743.500000,25743.500000,759
2019-08-13,25811.000000,26229.000000,25638.000000,26136.000000,26136.000000,449
2019-08-14,25951.000000,25959.000000,25121.000000,25238.500000,25238.500000,1320
2019-08-15,25084.000000,25099.000000,24657.000000,24751.000000,24751.000000,4345
2019-08-16,24731.000000,24898.550781,24723.501953,24932.000000,24932.000000,122
2019-08-19,25573.000000,25573.000000,25573.000000,25573.000000,25573.000000,0
2019-08-20,25634.000000,25634.000000,25432.000000,25434.500000,25434.500000,36
2019-08-21,25633.000000,25681.000000,25535.000000,25544.500000,25544.500000,1294
2019-08-22,25637.000000,25688.000000,25404.000000,25394.500000,25394.500000,3213
2019-08-23,24815.000000,25173.000000,24815.000000,24665.500000,24665.500000,494
2019-08-27,24448.000000,24518.000000,24439.000000,24311.000000,24311.000000,153
2019-08-28,24496.000000,24631.000000,24384.000000,24696.500000,24696.500000,998
2019-08-29,24882.000000,25195.000000,24865.000000,25176.000000,25176.000000,969
2019-08-30,25208.000000,25257.000000,25199.000000,25099.500000,25099.500000,402
2019-09-02,25321.000000,25364.000000,25287.000000,25267.500000,25267.500000,80
2019-09-03,25080.000000,25080.000000,25050.000000,25016.500000,25016.500000,755
2019-09-04,25198.000000,25404.000000,25198.000000,25385.500000,25385.500000,1336
2019-09-05,25268.000000,25492.000000,25268.000000,25632.500000,25632.500000,847
2019-09-06,25319.000000,25319.000000,25268.000000,25489.500000,25489.500000,698
2019-09-09,25673.000000,25673.000000,25669.000000,25988.000000,25988.000000,588
2019-09-10,26100.000000,26100.000000,26100.000000,26585.500000,26585.500000,100
2019-09-11,26555.000000,26636.000000,26432.000000,26560.500000,26560.500000,389
2019-09-12,25910.000000,26270.000000,25896.000000,26241.000000,26241.000000,2429
2019-09-13,26141.000000,26316.000000,26141.000000,26098.500000,26098.500000,1391
2019-09-16,26996.000000,27523.000000,26864.000000,27011.500000,27011.500000,7865
2019-09-17,27273.000000,27273.000000,26703.000000,26779.500000,26779.500000,1635
2019-09-18,26459.500000,26459.500000,26459.500000,26459.500000,26459.500000,0
2019-09-19,26552.000000,26730.000000,26552.000000,26427.500000,26427.500000,797
2019-09-20,26452.000000,26452.000000,26452.000000,26452.000000,26452.000000,0
2019-09-23,26445.000000,26603.000000,26365.000000,26521.000000,26521.000000,2964
2019-09-24,26231.500000,26231.500000,26231.500000,26231.500000,26231.500000,0
2019-09-25,25994.000000,26132.000000,25993.000000,26257.500000,26257.500000,353
2019-09-26,26488.000000,26488.000000,26095.000000,25891.500000,25891.500000,1418
2019-09-27,26264.000000,26264.000000,25892.000000,26215.500000,26215.500000,724
2019-09-30,25988.000000,26030.000000,25969.000000,26032.000000,26032.000000,1597
2019-10-01,26045.000000,26206.000000,25831.000000,25846.000000,25846.000000,585
2019-10-02,25205.000000,25205.000000,25010.000000,24849.500000,24849.500000,846
2019-10-03,24452.000000,24452.000000,24452.000000,24452.000000,24452.000000,0
2019-10-04,24879.000000,25042.000000,24877.000000,24886.500000,24886.500000,26
2019-10-07,25039.000000,25192.000000,25039.000000,25177.500000,25177.500000,1152
2019-10-08,24848.000000,24878.000000,24787.000000,24769.000000,24769.000000,958
2019-10-09,24877.000000,24879.000000,24872.000000,24924.500000,24924.500000,207
2019-10-10,24917.000000,25047.000000,24916.000000,24874.000000,24874.000000,868
2019-10-11,24974.000000,24974.000000,24573.000000,24721.500000,24721.500000,149
2019-10-14,24596.000000,24706.800781,24596.000000,24675.000000,24675.000000,37
2019-10-15,24661.000000,24675.000000,24535.000000,24719.500000,24719.500000,227
2019-10-16,24552.000000,24553.000000,24321.000000,24308.000000,24308.000000,180
2019-10-17,24036.000000,24145.000000,24036.000000,24084.000000,24084.000000,26
2019-10-18,23957.000000,24066.000000,23957.000000,24018.000000,24018.000000,399
2019-10-21,23705.000000,23868.300781,23705.000000,23939.500000,23939.500000,438
2019-10-22,24176.000000,24464.000000,24174.000000,24478.500000,24478.500000,508
2019-10-23,24684.500000,24684.500000,24684.500000,24684.500000,24684.500000,0
2019-10-24,24786.000000,24964.000000,24699.000000,24854.500000,24854.500000,2170
2019-10-25,25061.500000,25061.500000,25061.500000,25061.500000,25061.500000,0
2019-10-28,25180.000000,25180.000000,25178.000000,24841.000000,24841.000000,499
2019-10-29,24909.000000,25028.000000,24744.000000,25030.000000,25030.000000,661
2019-10-30,24743.000000,24743.000000,24712.000000,24498.500000,24498.500000,808
2019-10-31,23992.000000,24029.000000,23956.000000,24046.000000,24046.000000,4589
2019-11-01,24632.000000,24632.000000,24632.000000,24632.000000,24632.000000,0
2019-11-04,25164.000000,25164.000000,25164.000000,25555.500000,25555.500000,384
2019-11-05,25650.000000,25785.000000,25638.000000,25800.500000,25800.500000,610
2019-11-06,25667.000000,25704.699219,25315.000000,25300.500000,25300.500000,63
2019-11-07,25301.000000,25559.000000,25301.000000,25482.000000,25482.000000,189
2019-11-08,25454.000000,25454.000000,25308.550781,25400.000000,25400.000000,118
2019-11-11,25255.500000,25255.500000,25255.500000,25255.500000,25255.500000,0
2019-11-12,25360.000000,25461.000000,25359.000000,25443.500000,25443.500000,36
2019-11-13,25059.000000,25059.000000,25041.000000,25050.000000,25050.000000,22
2019-11-14,25081.000000,25112.171875,24992.599609,24983.500000,24983.500000,764
2019-11-15,24998.000000,25101.000000,24970.000000,25127.500000,25127.500000,109
2019-11-18,24617.000000,24617.000000,24617.000000,24617.000000,24617.000000,0
2019-11-19,24621.000000,24621.000000,24437.050781,24493.500000,24493.500000,273
2019-11-20,24413.140625,24413.140625,24413.140625,24679.500000,24679.500000,20
2019-11-21,24835.000000,24835.000000,24513.697266,24774.000000,24774.000000,238
2019-11-22,25210.000000,25300.085938,25210.000000,25166.000000,25166.000000,240
2019-11-25,25026.500000,25026.500000,25026.500000,25026.500000,25026.500000,0
2019-11-26,24939.500000,24939.500000,24939.500000,24939.500000,24939.500000,0
2019-11-27,24883.000000,24899.000000,24748.349609,24718.500000,24718.500000,203
2019-11-28,24723.400391,24723.400391,24723.400391,24791.500000,24791.500000,4
2019-11-29,24509.500000,24509.500000,24509.500000,24509.500000,24509.500000,0
2019-12-02,24800.000000,24800.000000,24710.000000,24671.500000,24671.500000,942
2019-12-03,24352.000000,24352.000000,24033.000000,24099.500000,24099.500000,1307
2019-12-04,24051.000000,24230.550781,24051.000000,24185.500000,24185.500000,1547
2019-12-05,24213.000000,24213.000000,24213.000000,24060.000000,24060.000000,384
2019-12-06,24556.000000,24556.000000,24556.000000,24556.000000,24556.000000,0
2019-12-09,24430.849609,24430.849609,24430.849609,24554.500000,24554.500000,6
2019-12-10,24495.000000,24495.000000,24495.000000,24495.000000,24495.000000,0
2019-12-11,24528.000000,24569.000000,24461.000000,24462.000000,24462.000000,66
2019-12-12,24938.000000,24950.000000,24515.050781,24994.500000,24994.500000,48
2019-12-13,24613.000000,24631.000000,24530.000000,24471.500000,24471.500000,1113
